Fiscal Week,Total Early (%),Total On Time (%),Total Late (%)
03/07/2017,4.17,88.62,7.21
10/07/2017,4.03,87.85,8.12
17/07/2017,5.91,87.11,6.98
24/07/2017,5.85,87.16,7.00
31/07/2017,6.08,87.09,6.83
07/08/2017,5.86,87.31,6.83
14/08/2017,5.97,87.62,6.40
21/08/2017,6.07,87.42,6.51
28/08/2017,6.16,87.18,6.66
04/09/2017,5.94,87.54,6.52
11/09/2017,5.85,87.89,6.27
18/09/2017,6.46,87.26,6.28
25/09/2017,4.24,88.08,7.68
02/10/2017,5.00,87.39,7.61
09/10/2017,4.23,86.03,9.74
16/10/2017,3.8200000000000003,85.40,10.78
23/10/2017,3.95,85.06,10.99
30/10/2017,3.94,84.13,11.93
06/11/2017,3.91,84.43,11.65
13/11/2017,4.18,84.21,11.62
20/11/2017,3.92,84.15,11.93
27/11/2017,4.23,83.70,12.07
04/12/2017,4.31,83.21,12.48
11/12/2017,4.27,83.13,12.60
18/12/2017,3.55,85.26,11.19
25/12/2017,2.91,81.96,15.13
01/01/2018,2.55,82.59,14.86
08/01/2018,3.00,84.00,13.00
15/01/2018,3.35,83.25,13.39
22/01/2018,3.04,83.19,13.77
29/01/2018,3.13,83.90,12.97
05/02/2018,3.63,84.13,12.25
12/02/2018,3.77,83.98,12.24
19/02/2018,4.15,84.95,10.90
26/02/2018,4.08,84.07,11.85
05/03/2018,4.83,83.83,11.33
12/03/2018,4.66,83.97,11.38
19/03/2018,4.38,84.25,11.36
26/03/2018,4.29,84.19,11.52
02/04/2018,4.47,84.06,11.48
09/04/2018,4.74,84.54,10.72
16/04/2018,3.45,84.72,11.84
23/04/2018,3.42,84.90,11.68
30/04/2018,4.36,84.39,11.25
07/05/2018,4.50,84.94,10.56
14/05/2018,4.89,84.14,10.97
21/05/2018,4.87,85.07,10.07
28/05/2018,4.63,84.80,10.56
04/06/2018,4.30,85.60,10.11
11/06/2018,4.67,85.00,10.33
18/06/2018,4.79,85.31,9.89
25/06/2018,4.69,85.53,9.78
